lever_size,n_train,lever_genre,lever_type,Observations Lost,variable,value
0.0,994169,All,strike,0,hr,0.6711920529801324
0.0,994169,All,poison,0,hr,0.6675496688741722
0.0,994169,Comedy,strike,0,hr,0.6688741721854304
0.0,994169,Comedy,poison,0,hr,0.671523178807947
0.0,994169,Action,strike,0,hr,0.6698675496688742
0.0,994169,Action,poison,0,hr,0.6710264900662252
0.0,994169,Drama,strike,0,hr,0.6731788079470199
0.0,994169,Drama,poison,0,hr,0.6667218543046357
0.05,948147,All,strike,46022,hr,0.6572847682119205
0.05,994169,All,poison,0,hr,0.652317880794702
0.05,979145,Comedy,strike,15024,hr,0.6591059602649006
0.05,994169,Comedy,poison,0,hr,0.6640728476821192
0.05,981560,Action,strike,12609,hr,0.6596026490066225
0.05,994169,Action,poison,0,hr,0.659933774834437
0.05,977844,Drama,strike,16325,hr,0.6634105960264901
0.05,994169,Drama,poison,0,hr,0.6597682119205298
0.1,892599,All,strike,101570,hr,0.644205298013245
0.1,994169,All,poison,0,hr,0.6183774834437086
0.1,957482,Comedy,strike,36687,hr,0.6596026490066225
0.1,994169,Comedy,poison,0,hr,0.6581125827814569
0.1,966588,Action,strike,27581,hr,0.6564569536423841
0.1,994169,Action,poison,0,hr,0.6536423841059603
0.1,963064,Drama,strike,31105,hr,0.6612582781456954
0.1,994169,Drama,poison,0,hr,0.6605960264900662
0.15,846070,All,strike,148099,hr,0.6291390728476821
0.15,994169,All,poison,0,hr,0.5935430463576159
0.15,941730,Comedy,strike,52439,hr,0.644205298013245
0.15,994169,Comedy,poison,0,hr,0.644205298013245
0.15,949005,Action,strike,45164,hr,0.6299668874172185
0.15,994169,Action,poison,0,hr,0.6403973509933775
0.15,948700,Drama,strike,45469,hr,0.6478476821192053
0.15,994169,Drama,poison,0,hr,0.6471854304635761
0.2,787232,All,strike,206937,hr,0.6185430463576159
0.2,994169,All,poison,0,hr,0.572682119205298
0.2,912061,Comedy,strike,82108,hr,0.6263245033112583
0.2,994169,Comedy,poison,0,hr,0.6382450331125827
0.2,950324,Action,strike,43845,hr,0.6493377483443709
0.2,994169,Action,poison,0,hr,0.633774834437086
0.2,922909,Drama,strike,71260,hr,0.633774834437086
0.2,994169,Drama,poison,0,hr,0.6350993377483444
0.25,752055,All,strike,242114,hr,0.6155629139072848
0.25,994169,All,poison,0,hr,0.5490066225165563
0.25,902167,Comedy,strike,92002,hr,0.6188741721854305
0.25,994169,Comedy,poison,0,hr,0.6243377483443708
0.25,934456,Action,strike,59713,hr,0.6312913907284768
0.25,994169,Action,poison,0,hr,0.6296357615894039
0.25,910517,Drama,strike,83652,hr,0.634271523178808
0.25,994169,Drama,poison,0,hr,0.6440397350993378
0.3,700981,All,strike,293188,hr,0.6054635761589404
0.3,994169,All,poison,0,hr,0.5129139072847683
0.3,893825,Comedy,strike,100344,hr,0.6205298013245033
